time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)',,,,,,,,,,,,,
47:51.2,25.91,25.47,25.36,25.41,25.25,25.25,,,,,,,,,,,,,
47:51.7,25.91,25.47,25.36,25.41,25.25,25.25,,,,,,,,,,,,,
47:52.2,25.91,25.48,25.37,25.42,25.25,25.25,,,,,,,,,,,,,
47:52.7,25.9,25.49,25.37,25.42,25.25,25.25,,,,,,,,,,,,,
47:53.2,25.89,25.48,25.37,25.41,25.26,25.25,,,,,,,,,,,,,
47:53.7,25.89,25.48,25.38,25.41,25.26,25.25,,,,,,,,,,,,,
47:54.2,25.89,25.49,25.38,25.41,25.25,25.25,,,,,,,,,,,,,
47:54.7,25.89,25.49,25.39,25.41,25.25,25.25,,,,,,,,,,,,,
47:55.3,25.88,25.48,25.39,25.4,25.24,25.25,,,,,,,,,,,,,
47:55.8,25.89,25.49,25.39,25.41,25.24,25.25,,,,,,,,,,,,,
47:56.3,25.88,25.49,25.4,25.41,25.25,25.25,,,,,,,,,,,,,
47:56.8,25.88,25.49,25.4,25.41,25.24,25.25,,,,,,,,,,,,,
47:57.3,25.88,25.49,25.4,25.41,25.24,25.25,,,,,,,,,,,,,
47:57.8,25.88,25.49,25.41,25.41,25.24,25.25,,,,,,,,,,,,,
47:58.3,25.88,25.49,25.41,25.41,25.24,25.25,,,,,,,,,,,,,
47:58.8,25.87,25.49,25.41,25.41,25.24,25.25,,,,,,,,,,,,,
47:59.4,25.87,25.49,25.41,25.41,25.23,25.25,,,,,,,,,,,,,
47:59.8,25.87,25.49,25.42,25.42,25.23,25.25,,,,,,,,,,,,,
48:00.3,25.87,25.49,25.43,25.42,25.24,25.25,,,,,,,,,,,,,
48:00.9,25.87,25.49,25.43,25.43,25.23,25.25,,,,,,,,,,,,,
48:01.3,25.87,25.49,25.44,25.43,25.23,25.25,,,,,,,,,,,,,
48:01.8,25.87,25.49,25.44,25.43,25.23,25.25,,,,,,,,,,,,,
48:02.3,25.87,25.49,25.44,25.44,25.23,25.25,,,,,,,,,,,,,
48:02.8,25.87,25.49,25.44,25.43,25.23,25.25,,,,,,,,,,,,,
48:03.3,25.86,25.49,25.44,25.43,25.23,25.25,,,,,,,,,,,,,
48:03.8,25.86,25.49,25.44,25.43,25.23,25.25,,,,,,,,,,,,,
48:04.3,25.86,25.49,25.44,25.42,25.24,25.25,,,,,,,,,,,,,
