time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
40:26.3,3917.4,3897,3896,3892.6,3913.8,3896
40:26.7,3917.4,3897.4,3896,3892.6,3913.6,3896
40:27.1,3917.6,3897.4,3896,3892.6,3913.6,3896
40:27.6,3917.8,3897.4,3896,3893,3913.2,3896
40:28.0,3917.2,3897.2,3896,3893.2,3913.6,3896
40:28.4,3917,3897.2,3896,3893.4,3914.2,3896
40:28.8,3916.6,3897.2,3896,3893.2,3914.8,3896
40:29.2,3916.6,3897.2,3896,3892.8,3914.8,3896
40:29.7,3916.6,3897.2,3896,3892.6,3915,3896
40:30.1,3916.8,3897.4,3896,3893,3914.8,3896
40:30.5,3916.6,3897.2,3896,3892.8,3914.6,3896
40:30.9,3916.4,3897.2,3896,3893,3914,3896
40:31.4,3916.4,3897,3896,3892.8,3914.6,3896
40:31.8,3916.6,3897,3896,3892.8,3914.6,3896
40:32.2,3916.6,3897,3896,3892.8,3915,3896
40:32.6,3916.4,3897,3896,3892.6,3914.8,3896
40:33.0,3916.2,3897,3896,3892.8,3915,3896
40:33.4,3916,3897,3896,3893,3915.6,3896
40:33.9,3915.8,3897,3896,3893,3916,3896
40:34.3,3916,3896.8,3896,3893,3916,3896
40:34.7,3915.8,3897,3896,3892.6,3916,3896
